feature,score,min,max,n_null,n_gt1w
x363,842,0.0,692.0,0,0,numeric
x368,610,-1.0,40.0,92,0,numeric
x148,607,-1.0,22.45,19,0,numeric
x6,602,-1.0,21.77,19,0,numeric
x137,589,-1.0,100.0,83,0,numeric
x767,580,-1,302150,19,1541,numeric
x791,579,-1,29982,19,4,numeric
x559,563,-1,39032,19,122,numeric
x143,551,-1.0,100.0,130,0,numeric
x778,547,-1,21777,19,1,numeric
x735,544,-1,443,19,0,numeric
x59,544,-1.0,75.0,83,0,numeric
x58,540,-1.0,100.0,83,0,numeric
x29,540,-1.0,88.8,83,0,numeric
x879,536,-1,24864,19,4,numeric
x554,527,-1,312,667,0,numeric
x606,521,-1,86220,19,96,numeric
x236,516,-1.0,100.0,131,0,numeric
x25,515,-1.0,66.05,83,0,numeric
x769,506,-1,120625,19,38,numeric
x584,492,-1,60288,19,45,numeric
x171,491,-1.0,24.17,19,0,numeric
x607,489,-1,53193,19,10,numeric
x406,489,-1,16706,19,62,numeric
x67,489,-1.0,100.0,130,0,numeric
x114,485,-1.0,36.19,19,0,numeric
x944,476,-1.0,3223695.97,285,136,numeric
x951,468,-1.0,14748.62,138,2,numeric
x412,466,-1,1000,19,0,numeric
x26,460,-1.0,85.71,83,0,numeric
x2,457,-1.0,56.41,19,0,numeric
x592,451,-1,131274,19,60,numeric
x55,450,-1.0,100.0,131,0,numeric
x96,450,-1.0,100.0,83,0,numeric
x422,448,-1,254,19,0,numeric
x138,445,-1.0,77.19,83,0,numeric
x101,440,-1.0,100.0,130,0,numeric
x142,433,-1.0,100.0,130,0,numeric
x79,431,-1.0,36.03,19,0,numeric
x252,427,-1,95053,19,31,numeric
x293,415,-1.0,169691.14,19,474,numeric
x189,413,-1.0,24.0,19,0,numeric
x352,406,0.01,726.0,0,0,numeric
x367,404,-1.0,33.2,92,0,numeric
x940,403,-1.0,342075.0,285,38,numeric
x524,402,-1,40811,19,14,numeric
x820,402,-1,320,989,0,numeric
x286,401,-1,66370,19,29,numeric
x65,401,-1.0,100.0,130,0,numeric
x235,397,-1.0,100.0,92,0,numeric
x161,395,-1.0,100.0,131,0,numeric
x125,392,-1.0,100.0,131,0,numeric
x53,392,-1.0,100.0,92,0,numeric
x337,391,-1,735485,19,231,numeric
x153,387,-1.0,41.67,19,0,numeric
x687,380,-1,19156,19,29,numeric
x823,380,-1,12234,19,7,numeric
x552,377,-1,257,41,0,numeric
x135,375,-1.0,77.8,83,0,numeric
x27,373,-1.0,100.0,83,0,numeric
x364,372,-1.0,100.0,92,0,numeric
x690,371,-1,27933,19,3,numeric
x13,369,-1.0,52.09,19,0,numeric
x211,367,-1.0,100.0,131,0,numeric
x846,364,-1,74671,19,27,numeric
x82,364,-1.0,86.59,92,0,numeric
x115,363,-1.0,41.8,19,0,numeric
x462,362,0,164,0,0,numeric
x93,359,-1.0,100.0,83,0,numeric
x134,357,-1.0,100.0,83,0,numeric
x852,356,-1,24189,19,33,numeric
x7,355,-1.0,58.6,19,0,numeric
x218,353,-1.0,22.9,131,0,numeric
x407,352,-1,735855,19,83,numeric
x8,352,-1.0,42.22,19,0,numeric
x158,350,-1.0,18.52,92,0,numeric
x180,347,-1.0,33.33,92,0,numeric
x549,346,-1,343,846,0,numeric
x428,345,-1.0,100.0,52,0,numeric
x822,344,-1,95326,19,329,numeric
x95,343,-1.0,79.68,83,0,numeric
x941,342,-1.0,499087.41,285,67,numeric
x721,341,-1,10829,19,2,numeric
x768,338,-1,69027,19,31,numeric
x14,338,-1.0,31.34,19,0,numeric
x764,337,-1,18720,19,4,numeric
x645,337,-1,333,2386,0,numeric
x94,336,-1.0,100.0,83,0,numeric
x578,335,-1,8402,19,0,numeric
x558,334,-1,52514,19,145,numeric
x392,333,-1,735675,19,1,numeric
x433,333,-1.0,2480.62,52,0,numeric
x563,332,-1,18666,19,1,numeric
x528,331,-1,29522,19,9,numeric
x136,330,-1.0,51.79,83,0,numeric
x172,330,-1.0,51.72,19,0,numeric
x270,329,-1,371789,19,852,numeric
x102,329,-1.0,100.0,130,0,numeric
x398,329,-85,735674,22,1,numeric
x1024,328,-1,799,19,0,numeric
x42,328,-1.0,48.37,19,0,numeric
x591,327,-1,657,19,0,numeric
x28,326,-1.0,100.0,83,0,numeric
x165,325,-1.0,100.0,131,0,numeric
x681,323,-1,143,19,0,numeric
x178,322,-1.0,50.0,92,0,numeric
x9,322,-1.0,33.88,19,0,numeric
x346,318,0.01,2950.0,0,0,numeric
x486,315,-1,2028938,20,9340,numeric
x952,315,-182.05,8902.83,206,0,numeric
x722,314,-1,10945,19,1,numeric
x432,312,-1.0,2589.06,52,0,numeric
x471,312,-1,355,20,0,numeric
x772,311,-1,19913,19,5,numeric
x1110,310,1,33,0,0,category
x357,310,-100.26,9656.69,160,0,numeric
x123,309,-1.0,100.0,131,0,numeric
x241,308,-1,74077,19,36,numeric
x224,308,-1.0,51.2,19,0,numeric
x68,307,-1.0,100.0,130,0,numeric
x92,307,-1.0,100.0,83,0,numeric
x199,307,-1.0,27.08,19,0,numeric
x560,306,-1,14517,19,3,numeric
x1019,306,-1,109,19,0,numeric
x190,306,-1.0,21.97,19,0,numeric
x829,303,-1,39368,19,22,numeric
x417,301,1,2,0,0,category
x858,301,-1,24487,19,3,numeric
x234,301,-1.0,32.22,92,0,numeric
x358,300,0.0,13120.0,0,1,numeric
x653,300,-1,20516,19,12,numeric
x99,300,-1.0,100.0,130,0,numeric
x472,299,-1,395,20,0,numeric
x209,299,-1.0,28.57,92,0,numeric
x239,298,-1.0,52.78,131,0,numeric
x654,297,-1,29714,19,13,numeric
x30,296,-1.0,100.0,130,0,numeric
x176,296,-1.0,100.0,92,0,numeric
x738,293,-1,10181,19,1,numeric
x159,293,-1.0,46.1,92,0,numeric
x409,292,-1.0,1824.0,19,0,numeric
x57,292,-1.0,100.0,131,0,numeric
x66,292,-1.0,100.0,130,0,numeric
x175,292,-1.0,30.19,19,0,numeric
x1,291,-1.0,34.18,19,0,numeric
x656,290,-1,27947,19,2,numeric
x162,290,-1.0,100.0,131,0,numeric
x35,290,-1.0,42.82,19,0,numeric
x999,289,-1,445,19,0,numeric
x208,289,-1.0,100.0,92,0,numeric
x72,289,-1.0,49.0,19,0,numeric
x685,287,-1,241519,19,1893,numeric
x404,287,-1,471,19,0,numeric
x98,287,-1.0,100.0,130,0,numeric
x76,285,-1.0,71.85,19,0,numeric
